Name,Official Name,Currency,Capital,Region,Subregion,Demonym,Landlocked,Area
Paraguay,Republic of Paraguay,PYG,Asunción,Americas,South America,Paraguayan,TRUE,406752
Palestine,State of Palestine,ILS,Ramallah,Asia,Western Asia,Palestinian,FALSE,6220
French Polynesia,French Polynesia,XPF,Papeetē,Oceania,Polynesia,French Polynesian,FALSE,4167
Qatar,State of Qatar,QAR,Doha,Asia,Western Asia,Qatari,FALSE,11586
Réunion,Réunion Island,EUR,Saint-Denis,Africa,Eastern Africa,French,FALSE,2511
Romania,Romania,RON,Bucharest,Europe,Eastern Europe,Romanian,FALSE,238391
Russia,Russian Federation,RUB,Moscow,Europe,Eastern Europe,Russian,FALSE,17098242
Rwanda,Republic of Rwanda,RWF,Kigali,Africa,Eastern Africa,Rwandan,TRUE,26338
Saudi Arabia,Kingdom of Saudi Arabia,SAR,Riyadh,Asia,Western Asia,Saudi Arabian,FALSE,2149690
Sudan,Republic of the Sudan,SDG,Khartoum,Africa,Northern Africa,Sudanese,FALSE,1886068
Senegal,Republic of Senegal,XOF,Dakar,Africa,Western Africa,Senegalese,FALSE,196722
Singapore,Republic of Singapore,SGD,Singapore,Asia,South-Eastern Asia,Singaporean,FALSE,710
South Georgia,South Georgia and the South Sandwich Islands,GBP,King Edward Point,Americas,South America,South Georgian South Sandwich Islander,FALSE,3903
Svalbard and Jan Mayen,Svalbard og Jan Mayen,NOK,Longyearbyen,Europe,Northern Europe,Norwegian,FALSE,-1
Solomon Islands,Solomon Islands,SBD,Honiara,Oceania,Melanesia,Solomon Islander,FALSE,28896
Sierra Leone,Republic of Sierra Leone,SLL,Freetown,Africa,Western Africa,Sierra Leonean,FALSE,71740
El Salvador,Republic of El Salvador,SVC,San Salvador,Americas,Central America,Salvadoran,FALSE,21041
San Marino,Most Serene Republic of San Marino,EUR,City of San Marino,Europe,Southern Europe,Sammarinese,TRUE,61
Somalia,Federal Republic of Somalia,SOS,Mogadishu,Africa,Eastern Africa,Somali,FALSE,637657
Saint Pierre and Miquelon,Saint Pierre and Miquelon,EUR,Saint-Pierre,Americas,Northern America,French,FALSE,242
Serbia,Republic of Serbia,RSD,Belgrade,Europe,Southern Europe,Serbian,TRUE,88361
South Sudan,Republic of South Sudan,SSP,Juba,Africa,Middle Africa,South Sudanese,TRUE,619745
São Tomé and Príncipe,Democratic Republic of São Tomé and Príncipe,STD,São Tomé,Africa,Middle Africa,Sao Tomean,FALSE,964
Suriname,Republic of Suriname,SRD,Paramaribo,Americas,South America,Surinamer,FALSE,163820
Slovakia,Slovak Republic,EUR,Bratislava,Europe,Eastern Europe,Slovak,TRUE,49037
Slovenia,Republic of Slovenia,EUR,Ljubljana,Europe,Southern Europe,Slovene,FALSE,20273
Sweden,Kingdom of Sweden,SEK,Stockholm,Europe,Northern Europe,Swedish,FALSE,450295
Swaziland,Kingdom of Swaziland,SZL,Lobamba,Africa,Southern Africa,Swazi,TRUE,17364
Sint Maarten,Sint Maarten,ANG,Philipsburg,Americas,Caribbean,St. Maartener,FALSE,34
Seychelles,Republic of Seychelles,SCR,Victoria,Africa,Eastern Africa,Seychellois,FALSE,452
Syria,Syrian Arab Republic,SYP,Damascus,Asia,Western Asia,Syrian,FALSE,185180
Turks and Caicos Islands,Turks and Caicos Islands,USD,Cockburn Town,Americas,Caribbean,Turks and Caicos Islander,FALSE,948
Chad,Republic of Chad,XAF,N'Djamena,Africa,Middle Africa,Chadian,TRUE,1284000
Togo,Togolese Republic,XOF,Lomé,Africa,Western Africa,Togolese,FALSE,56785
Thailand,Kingdom of Thailand,THB,Bangkok,Asia,South-Eastern Asia,Thai,FALSE,513120
Tajikistan,Republic of Tajikistan,TJS,Dushanbe,Asia,Central Asia,Tadzhik,TRUE,143100
Tokelau,Tokelau,NZD,Fakaofo,Oceania,Polynesia,Tokelauan,FALSE,12
Turkmenistan,Turkmenistan,TMT,Ashgabat,Asia,Central Asia,Turkmen,TRUE,488100
Timor-Leste,Democratic Republic of Timor-Leste,USD,Dili,Asia,South-Eastern Asia,East Timorese,FALSE,14874
Tonga,Kingdom of Tonga,TOP,Nuku'alofa,Oceania,Polynesia,Tongan,FALSE,747
Trinidad and Tobago,Republic of Trinidad and Tobago,TTD,Port of Spain,Americas,Caribbean,Trinidadian,FALSE,5130
Tunisia,Tunisian Republic,TND,Tunis,Africa,Northern Africa,Tunisian,FALSE,163610
Turkey,Republic of Turkey,TRY,Ankara,Asia,Western Asia,Turkish,FALSE,783562
Tuvalu,Tuvalu,AUD,Funafuti,Oceania,Polynesia,Tuvaluan,FALSE,26
Taiwan,Republic of China (Taiwan),TWD,Taipei,Asia,Eastern Asia,Taiwanese,FALSE,36193
Tanzania,United Republic of Tanzania,TZS,Dodoma,Africa,Eastern Africa,Tanzanian,FALSE,945087
Uganda,Republic of Uganda,UGX,Kampala,Africa,Eastern Africa,Ugandan,TRUE,241550
Ukraine,Ukraine,UAH,Kiev,Europe,Eastern Europe,Ukrainian,FALSE,603500
United States Minor Outlying Islands,United States Minor Outlying Islands,USD,Washington D.C.,Americas,Northern America,American,FALSE,34.2
Uruguay,Oriental Republic of Uruguay,UYI,Montevideo,Americas,South America,Uruguayan,FALSE,181034
United States,United States of America,USD,Washington D.C.,Americas,Northern America,American,FALSE,9372610
Uzbekistan,Republic of Uzbekistan,UZS,Tashkent,Asia,Central Asia,Uzbekistani,TRUE,447400
Vatican City,Vatican City State,EUR,Vatican City,Europe,Southern Europe,Italian,TRUE,0.44
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,XCD,Kingstown,Americas,Caribbean,Saint Vincentian,FALSE,389
Venezuela,Bolivarian Republic of Venezuela,VEF,Caracas,Americas,South America,Venezuelan,FALSE,916445
British Virgin Islands,Virgin Islands,USD,Road Town,Americas,Caribbean,Virgin Islander,FALSE,151
United States Virgin Islands,Virgin Islands of the United States,USD,Charlotte Amalie,Americas,Caribbean,Virgin Islander,FALSE,347
Vietnam,Socialist Republic of Vietnam,VND,Hanoi,Asia,South-Eastern Asia,Vietnamese,FALSE,331212
Vanuatu,Republic of Vanuatu,VUV,Port Vila,Oceania,Melanesia,Ni-Vanuatu,FALSE,12189
Wallis and Futuna,Territory of the Wallis and Futuna Islands,XPF,Mata-Utu,Oceania,Polynesia,Wallis and Futuna Islander,FALSE,142
Samoa,Independent State of Samoa,WST,Apia,Oceania,Polynesia,Samoan,FALSE,2842
Yemen,Republic of Yemen,YER,Sana'a,Asia,Western Asia,Yemeni,FALSE,527968
South Africa,Republic of South Africa,ZAR,Pretoria,Africa,Southern Africa,South African,FALSE,1221037
Zambia,Republic of Zambia,ZMW,Lusaka,Africa,Eastern Africa,Zambian,TRUE,752612
Zimbabwe,Republic of Zimbabwe,ZWL,Harare,Africa,Eastern Africa,Zimbabwean,TRUE,390757
