Number,Company,Company type,Value proposition,Segments, Relationships,Channels,Activities,Resources,Partnerships,Revenue model,EBIT %
54,Fairschild Semiconductor International Inc,non-e-business,Differentiation,B-to-B,Medium level service,Combination of online and offline,"R&D, Production","Physical, Intellectual",Not many important partners,Sales of ownership,5.11
55,Ferrari,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"R&D, Production, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,13.20
56,Fielmann,non-e-business,Differentiation and low cost,B-to-C,High level service,Offline,"Production, Sales","Physical, Human",Not many important partners,Sales of ownership,18.38
57,Finnair,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,-3.17
58,Foot Locker Inc.,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,Sales,"Physical, Human",Many important partners,Sales of ownership,11.40
59,Geely,non-e-business,Low cost,B-to-C,Low level service,Combination of online and offline,"Production, Sales","Physical, Human",Some important partners,Sales of ownership,8.49
60,Glu Mobile Inc.,e-business,Low cost,B-to-C,Low level service,Online,"Programming, Sales","Human, IT",Not many important partners,Sales of access,0.27
61,Go Pro,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human",Some important partners,Sales of ownership,13.42
62,Google Inc.,e-business,Differentiation and low cost,B-to-B and B-to-C,Medium level service,Online,"Programming, Sales","Human, IT, Intellectual",Not many important partners,Sales of access,30.33
63,Grohe AG,non-e-business,Differentiation,B-to-B,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human",Many important partners,Sales of ownership,15.50
64,Groupon Inc.,e-business,Differentiation,B-to-B and B-to-C,Medium level service,Online,"Programming, Sales","Human, IT",Many important partners,Sales of access,4.87
65,Gucci (not Gucci Group),non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,30.20
66,H&M,non-e-business,Low cost,B-to-C,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human, Intellectual",Not many important partners,Sales of ownership,16.90
67,Harley-Davidson Inc.,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"Production, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,20.57
68,Hermès International S.A.,non-e-business,Differentiation,B-to-C,Low level service,Combination of online and offline,"Production, Sales","Physical, Human, Intellectual",Not many important partners,Sales of ownership,34.89
69,Hero Motocorp Ltd.,non-e-business,Differentiation,B-to-C,Medium level service,Offline,"Production, Sales","Physical, Human",Not many important partners,Sales of ownership,9.60
70,"Honda Motor Co., Ltd.",non-e-business,Differentiation and low cost,B-to-C,Medium level service,Combination of online and offline,"R&D, Production, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,2.90
71,Hugo Boss AG,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,17.45
72,Hyundai Motor Company,non-e-business,Low cost,B-to-C,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human",Many important partners,Sales of ownership,8.95
73,Iberia,non-e-business,Low cost,B-to-C,Medium level service,Combination of online and offline,"Services, Sales","Physical, Human",Not many important partners,Sales of access,10.71
74,IKEA,non-e-business,Low cost,B-to-C,High level service,Combination of online and offline,"Logistics, Sales","Physical, Human",Some important partners,Sales of ownership,12.90
75,Infineon Technologies AG,non-e-business,Differentiation,B-to-B,Medium level service,Combination of online and offline,"R&D, Production","Physical, Intellectual",Many important partners,Sales of ownership,12.15
76,Intel Corp,non-e-business,Differentiation,B-to-B,High level service,Combination of online and offline,"R&D, Production","Physical, Intellectual",Many important partners,Sales of ownership,27.21
77,Inventec Corporation,non-e-business,Low cost,B-to-C,High level service,Combination of online and offline,Production,Physical,Some important partners,Sales of ownership,2.00
78,iRobots Corp.,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"R&D, Production","Physical, Intellectual",Not many important partners,Sales of ownership,9.54
79,Isuzu,non-e-business,Low cost,B-to-C,Low level service,Combination of online and offline,"Production, Sales","Physical, Human",Some important partners,Sales of ownership,9.90
80,JetBlue Airways,non-e-business,Low cost,B-to-C,Low level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,8.85
81,Kia Motors Corporation,non-e-business,Low cost,B-to-C,Low level service,Offline,"Production, Sales","Physical, Human",Not many important partners,Sales of ownership,5.50
82,KLM,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,8.83
83,Lamborghini,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"R&D, Production, Sales","Physical, Human, Intellectual",Not many important partners,Sales of ownership,-0.37
84,Latam Airlines,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,4.12
85,Lenovo Group Ltd.,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"R&D, Production, Sales","Physical, Human, Intellectual",Many important partners,Sales of ownership,14.40
86,Lexmark International Inc.,non-e-business,Differentiation,B-to-B,Medium level service,Combination of online and offline,"R&D, Production","Physical, Intellectual",Not many important partners,Sales of ownership,3.06
87,LinkedIn,e-business,Differentiation,B-to-B and B-to-C,Low level service,Combination of online and offline,"Programming, Sales","Human, IT",Many important partners,Sales of access,0.20
88,Liveperson Inc.,e-business,Differentiation,B-to-B,Medium level service,Online,"Programming, Service","Human, IT",Many important partners,Sales of access,-2.46
89,Louis Vuitton Malletier,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,17.46
90,Lowe's Company Inc.,non-e-business,Low cost,B-to-C,Medium level service,Combination of online and offline,"Logistics, Sales","Physical, Human",Some important partners,Sales of ownership,8.53
91,Marks & Spencer PLC,non-e-business,Differentiation and low cost,B-to-C,High level service,Combination of online and offline,"Logistics, Sales","Physical, Human",Not many important partners,Sales of ownership,1.75
92,Maserati,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"R&D, Production, Sales","Physical, Human, Intellectual",Not many important partners,Sales of ownership,4.73
93,Mazda Motor Corporation,non-e-business,Low cost,B-to-C,Medium level service,Offline,"Production, Sales","Physical, Human",Some important partners,Sales of ownership,6.70
94,McDonald’s Corporation,non-e-business,Low cost,B-to-C,Low level service,Offline,"Production, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,28.41
95,Mitsubishi Motors Corporation,non-e-business,Low cost,B-to-C,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human",Many important partners,Sales of ownership,6.23
96,Motorola Solutions Inc.,non-e-business,Differentiation,B-to-B,High level service,Combination of online and offline,"R&D, Production, Services","Physical, Human, Intellectual",Not many important partners,Sales of ownership and access,-16.07
97,MySale Group PLC,e-business,Differentiation and low cost,B-to-C,Low level service,Online,"Production, Programming","Human, IT",Many important partners,Sales of ownership,-5.28
98,NetFlix Inc.,e-business,Differentiation and low cost,B-to-C,Low level service,Online,"Programming, Services","Human, IT",Many important partners,Sales of access,7.30
99,Nike Inc.,non-e-business,Differentiation,B-to-C,Low level service,Combination of online and offline,"R&D, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,13.00
100,Nikon Corporation,non-e-business,Differentiation,B-to-B and B-to-C,Medium level service,Combination of online and offline,"R&D, Production, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,5.06
101,Nintendo,non-e-business,Differentiation and low cost,B-to-C,High level service,Combination of online and offline,"Programming, Sales","Human, IT, Intellectual",Many important partners,Sales of ownership and access,-8.12
102,Nordstrom Inc.,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"Logistics, Sales","Physical, Human",Not many important partners,Sales of ownership,10.10
103,Oracle Corporation,non-e-business,Differentiation,B-to-B,Medium level service,Online,"Programming, Sales","Human, IT, Intellectual",Many important partners,Sales of ownership and access,47.27
104,Pandora Media Inc.,e-business,Low cost,B-to-C,Medium level service,Online,"Programming, Services","Human, IT",Some important partners,Sales of access,5.00
105,Parrot AG,non-e-business,Low cost,B-to-B and B-to-C,Medium level service,Online,"R&D, Production, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,0.02
106,Pfizer Inc.,non-e-business,Differentiation,B-to-B and B-to-C,High level service,Combination of online and offline,"R&D, Production","Physical, Intellectual",Many important partners,Sales of ownership,12.73
107,Playtech PLC,non-e-business,Differentiation,B-to-B,Medium level service,Combination of online and offline,"R&D, Production","Physical, Intellectual",Many important partners,Sales of ownership and access,28.04
108,Polycom Inc.,non-e-business,Low cost,B-to-B,Medium level service,Offline,"R&D, Production","Physical, Intellectual",Many important partners,Sales of ownership and access,12.05
109,Porsche AG,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"R&D, Production, Sales","Physical, Human, Intellectual",Many important partners,Sales of ownership,15.80
110,Prada S.p.A.,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,19.75
111,PUMA SE,non-e-business,Differentiation and low cost,B-to-B and B-to-C,Low level service,Combination of online and offline,"R&D, Sales","Physical, Human, Intellectual",Many important partners,Sales of ownership,4.25
112,Qantas Airways,non-e-business,Differentiation and low cost,B-to-C,High level service,Combination of online and offline,"Services, Sales","Physical, Human",Some important partners,Sales of access,-2.87
113,Qualcomm,non-e-business,Differentiation,B-to-B,Medium level service,Combination of online and offline,"R&D, Production","Physical, Intellectual",Many important partners,Sales of ownership,30.30
114,Rackspace Inc.,e-business,Low cost,B-to-B,High level service,Online,"Programming, Sales","Human, IT, Intellectual",Not many important partners,Sales of ownership and access,33.70
115,Rakuten Inc.,e-business,Differentiation,B-to-B and B-to-C,Medium level service,Combination of online and offline,"Programming, Sales","Human, IT",Many important partners,Sales of ownership and access,17.54
116,Rambus,non-e-business,Differentiation,B-to-B,High level service,Offline,"R&D, Production","Physical, Intellectual",Many important partners,Sales of ownership and access,25.41
117,Renault,non-e-business,Low cost,B-to-C,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human",Some important partners,Sales of ownership,2.69
118,Ricoh,non-e-business,Low cost,B-to-C,High level service,Combination of online and offline,"R&D, Production, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,5.19
119,Rolls Royce Motor Cars,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"Production, Sales","Physical, Human, Intellectual",Not many important partners,Sales of ownership,4.20
120,Ryanair,non-e-business,Low cost,B-to-C,Low level service,Online,"Services, Sales","Physical, Human",Some important partners,Sales of access,13.00
121,Salesforce Inc.,e-business,Differentiation and low cost,B-to-B,Medium level service,Online,"Programming, Sales","Human, IT",Many important partners,Sales of access,10.68
122,Sanofi S.A.,non-e-business,Differentiation,B-to-C,Low level service,Offline,"R&D, Production","Physical, Intellectual",Some important partners,Sales of ownership,18.72
123,SAP SE,non-e-business,Differentiation,B-to-B,High level service,Combination of online and offline,"Programming, Sales","Human, IT, Intellectual",Some important partners,Sales of access,24.66
124,SAS,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,0.40
125,SEAT,non-e-business,Low cost,B-to-C,Low level service,Combination of online and offline,"Production, Sales","Physical, Human",Some important partners,Sales of ownership,-2.22
126,Servicenow Inc.,e-business,Differentiation,B-to-B,Medium level service,Online,"Programming, Sales","Human, IT",Many important partners,Sales of access,-22.24
127,Singapore Airlines,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,6.09
128,Skoda Auto,non-e-business,Low cost,B-to-C,Low level service,Combination of online and offline,"Production, Sales","Physical, Human",Some important partners,Sales of ownership,7.22
129,Southwest Airlines,non-e-business,Low cost,B-to-C,High level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,10.34
130,Spirit Airlines,non-e-business,Low cost,B-to-C,High level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,18.39
131,Spotify Ltd.,e-business,Differentiation and low cost,B-to-C,Low level service,Combination of online and offline,"Programming, Services","Human, IT",Many important partners,Sales of access,3.24
132,Ssangyong,non-e-business,Differentiation,B-to-C,Low level service,Combination of online and offline,"Production, Sales","Physical, Human",Some important partners,Sales of ownership,2.31
133,Starbucks Corporation,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human, Intellectual",Not many important partners,Sales of ownership,26.52
134,Subaru,non-e-business,Low cost,B-to-C,Low level service,Combination of online and offline,"Production, Sales","Physical, Human",Some important partners,Sales of ownership,13.60
135,Suzuki,non-e-business,Low cost,B-to-C,Low level service,Combination of online and offline,"Production, Sales","Physical, Human",Some important partners,Sales of ownership,4.16
136,Target Corporation,non-e-business,Low cost,B-to-C,Medium level service,Combination of online and offline,"Logistics, Sales","Physical, Human",Many important partners,Sales of ownership,6.25
137,Tesco PLC,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"Logistics, Sales","Physical, Human",Many important partners,Sales of ownership,-10.22
138,Tesla Motors Inc. ,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"R&D, Production, Sales","Physical, Human, Intellectual",Many important partners,Sales of ownership and access,-5.78
139,Teva Pharmaceutical Industries Ltd.,non-e-business,Low cost,B-to-C,Medium level service,Offline,"R&D, Production","Physical, Intellectual",Some important partners,Sales of ownership,19.06
140,Thai Airways,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,1.90
141,The Boeing Company,non-e-business,Differentiation,B-to-B,High level service,Offline,"R&D, Production","Physical, Human, Intellectual",Many important partners,Sales of ownership,7.86
142,The Home Depot,non-e-business,Differentiation and low cost,B-to-C,Medium level service,Combination of online and offline,"Logistik, Production, Sales","Physical, Human",Many important partners,Sales of ownership,12.59
143,Tiffany & Co.,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,17.39
144,TomTom,non-e-business,Differentiation,B-to-B and B-to-C,High level service,Combination of online and offline,"R&D, Production, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,2.00
145,Trimble Navigation Ltd.,non-e-business,Differentiation,B-to-B,Low level service,Combination of online and offline,"Production, Sales","Physical, Human",Many important partners,Sales of ownership,10.96
146,TripAdvisor LLC,e-business,Low cost,B-to-B and B-to-C,Low level service,Combination of online and offline,"Programming, Sales","Human, IT",Some important partners,Sales of access,26.00
